date,session_key,meeting_key,driver_number,position,timestamp,name_acronym,team_name,team_colour
2024-06-30 13:28:37.069000+00:00,9550,1239,24,15,13:28:37.069000,ZHO,Kick Sauber,52e252
2024-06-30 13:29:38.684000+00:00,9550,1239,11,8,13:29:38.684000,PER,Red Bull Racing,3671C6
2024-06-30 13:29:38.684000+00:00,9550,1239,22,9,13:29:38.684000,TSU,RB,6692FF
2024-06-30 13:29:38.684000+00:00,9550,1239,27,7,13:29:38.684000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:29:40.135000+00:00,9550,1239,11,9,13:29:40.135000,PER,Red Bull Racing,3671C6
2024-06-30 13:29:40.135000+00:00,9550,1239,20,8,13:29:40.135000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:29:40.135000+00:00,9550,1239,22,10,13:29:40.135000,TSU,RB,6692FF
2024-06-30 13:29:43.165000+00:00,9550,1239,3,10,13:29:43.165000,RIC,RB,6692FF
2024-06-30 13:29:43.165000+00:00,9550,1239,22,11,13:29:43.165000,TSU,RB,6692FF
2024-06-30 13:29:44.096000+00:00,9550,1239,14,11,13:29:44.096000,ALO,Aston Martin,229971
2024-06-30 13:29:44.096000+00:00,9550,1239,22,12,13:29:44.096000,TSU,RB,6692FF
2024-06-30 13:29:46.647000+00:00,9550,1239,22,13,13:29:46.647000,TSU,RB,6692FF
2024-06-30 13:29:46.647000+00:00,9550,1239,23,12,13:29:46.647000,ALB,Williams,64C4FF
2024-06-30 13:29:47.179000+00:00,9550,1239,22,14,13:29:47.179000,TSU,RB,6692FF
2024-06-30 13:29:47.179000+00:00,9550,1239,31,13,13:29:47.179000,OCO,Alpine,0093cc
2024-06-30 13:29:48.526000+00:00,9550,1239,10,14,13:29:48.526000,GAS,Alpine,0093cc
2024-06-30 13:29:48.526000+00:00,9550,1239,22,15,13:29:48.526000,TSU,RB,6692FF
2024-06-30 13:29:48.526000+00:00,9550,1239,24,16,13:29:48.526000,ZHO,Kick Sauber,52e252
2024-06-30 13:29:50.276000+00:00,9550,1239,22,16,13:29:50.276000,TSU,RB,6692FF
2024-06-30 13:29:50.276000+00:00,9550,1239,24,15,13:29:50.276000,ZHO,Kick Sauber,52e252
2024-06-30 13:30:27.676000+00:00,9550,1239,55,5,13:30:27.676000,SAI,Ferrari,E80020
2024-06-30 13:30:27.676000+00:00,9550,1239,63,4,13:30:27.676000,RUS,Mercedes,27F4D2
2024-06-30 13:30:27.676000+00:00,9550,1239,81,3,13:30:27.676000,PIA,McLaren,FF8000
2024-06-30 13:30:57.938000+00:00,9550,1239,23,13,13:30:57.938000,ALB,Williams,64C4FF
2024-06-30 13:30:57.938000+00:00,9550,1239,31,12,13:30:57.938000,OCO,Alpine,0093cc
2024-06-30 13:31:39.116000+00:00,9550,1239,1,2,13:31:39.116000,VER,Red Bull Racing,3671C6
2024-06-30 13:31:39.116000+00:00,9550,1239,4,3,13:31:39.116000,NOR,McLaren,FF8000
2024-06-30 13:31:39.116000+00:00,9550,1239,81,1,13:31:39.116000,PIA,McLaren,FF8000
2024-06-30 13:32:03.199000+00:00,9550,1239,11,8,13:32:03.199000,PER,Red Bull Racing,3671C6
2024-06-30 13:32:03.199000+00:00,9550,1239,20,9,13:32:03.199000,MAG,Haas F1 Team,B6BABD
2024-06-30 13:32:51.037000+00:00,9550,1239,1,1,13:32:51.037000,VER,Red Bull Racing,3671C6
2024-06-30 13:32:51.037000+00:00,9550,1239,81,2,13:32:51.037000,PIA,McLaren,FF8000
2024-06-30 13:33:21.261000+00:00,9550,1239,10,13,13:33:21.261000,GAS,Alpine,0093cc
2024-06-30 13:33:21.261000+00:00,9550,1239,23,14,13:33:21.261000,ALB,Williams,64C4FF
2024-06-30 13:33:27.677000+00:00,9550,1239,22,15,13:33:27.677000,TSU,RB,6692FF
2024-06-30 13:33:27.677000+00:00,9550,1239,24,16,13:33:27.677000,ZHO,Kick Sauber,52e252
2024-06-30 13:33:28.444000+00:00,9550,1239,18,16,13:33:28.444000,STR,Aston Martin,229971
2024-06-30 13:33:28.444000+00:00,9550,1239,24,17,13:33:28.444000,ZHO,Kick Sauber,52e252
2024-06-30 13:34:07.197000+00:00,9550,1239,4,2,13:34:07.197000,NOR,McLaren,FF8000
2024-06-30 13:34:07.197000+00:00,9550,1239,81,3,13:34:07.197000,PIA,McLaren,FF8000
2024-06-30 13:34:09.655000+00:00,9550,1239,63,3,13:34:09.655000,RUS,Mercedes,27F4D2
2024-06-30 13:34:09.655000+00:00,9550,1239,81,4,13:34:09.655000,PIA,McLaren,FF8000
2024-06-30 13:34:12.971000+00:00,9550,1239,55,4,13:34:12.971000,SAI,Ferrari,E80020
2024-06-30 13:34:12.971000+00:00,9550,1239,81,5,13:34:12.971000,PIA,McLaren,FF8000
2024-06-30 13:34:15.424000+00:00,9550,1239,44,5,13:34:15.424000,HAM,Mercedes,27F4D2
2024-06-30 13:34:15.424000+00:00,9550,1239,81,6,13:34:15.424000,PIA,McLaren,FF8000
2024-06-30 13:34:41.996000+00:00,9550,1239,24,18,13:34:41.996000,ZHO,Kick Sauber,52e252
2024-06-30 13:34:41.996000+00:00,9550,1239,77,17,13:34:41.996000,BOT,Kick Sauber,52e252
2024-06-30 13:35:35.035000+00:00,9550,1239,11,7,13:35:35.035000,PER,Red Bull Racing,3671C6
2024-06-30 13:35:35.035000+00:00,9550,1239,27,8,13:35:35.035000,HUL,Haas F1 Team,B6BABD
2024-06-30 13:37:10.269000+00:00,9550,1239,16,18,13:37:10.269000,LEC,Ferrari,E80020
2024-06-30 13:37:10.269000+00:00,9550,1239,24,19,13:37:10.269000,ZHO,Kick Sauber,52e252
2024-06-30 13:45:17.784000+00:00,9550,1239,14,12,13:45:17.784000,ALO,Aston Martin,229971
2024-06-30 13:45:17.784000+00:00,9550,1239,31,11,13:45:17.784000,OCO,Alpine,0093cc
2024-06-30 13:45:18.650000+00:00,9550,1239,10,12,13:45:18.650000,GAS,Alpine,0093cc
2024-06-30 13:45:18.650000+00:00,9550,1239,14,13,13:45:18.650000,ALO,Aston Martin,229971
2024-06-30 13:45:20.877000+00:00,9550,1239,14,14,13:45:20.877000,ALO,Aston Martin,229971
2024-06-30 13:45:20.877000+00:00,9550,1239,23,13,13:45:20.877000,ALB,Williams,64C4FF
2024-06-30 13:45:21.373000+00:00,9550,1239,14,15,13:45:21.373000,ALO,Aston Martin,229971
2024-06-30 13:45:21.373000+00:00,9550,1239,22,14,13:45:21.373000,TSU,RB,6692FF
2024-06-30 13:45:23.041000+00:00,9550,1239,14,16,13:45:23.041000,ALO,Aston Martin,229971
2024-06-30 13:45:23.041000+00:00,9550,1239,18,15,13:45:23.041000,STR,Aston Martin,229971
